"year","treatment","metric","metric_name_f","mean","sd","se","n","y_axis_label"
"2021","raked","BG","bare ground",0.0761111111111111,0.0781857432422548,0.0123622514599322,40,"areal cover proportion"
"2021","raked","LIT","litter soil cover",0.914166666666667,0.0872711587182898,0.0137987817795928,40,"areal cover proportion"
"2021","raked","exotic_forb","exotic forb relative abundance",0.0260530780417348,0.0360053030607189,0.00569293827582517,40,"relative abundance"
"2021","raked","exotic_forb_cover","exotic forb areal cover",0.0311111111111111,0.0459984722484648,0.00727299705965976,40,"areal cover proportion"
"2021","raked","exotic_grass","exotic grass relative abundance",0.945065690130043,0.0529704939234504,0.0083753704791106,40,"relative abundance"
"2021","raked","exotic_grass_cover","exotic grass areal cover",0.983055555555556,0.0312235959994229,0.00493688400495489,40,"areal cover proportion"
"2021","raked","native_forb","native forb relative abundance",0.0288812318282218,0.0278789339380273,0.0044080464990767,40,"relative abundance"
"2021","raked","native_forb_cover","native forb areal cover",0.0325,0.0313652118047095,0.00495927542982412,40,"areal cover proportion"
"2021","raked","shannon","Shannon diversity",0.349111884716406,0.321464969181833,0.0508280745285213,40,"H'"
"2021","raked","shannon_exotic_forbs","exotic forb Shannon diversity",0.0933642516400493,0.247749918818173,0.0391727016793619,40,"H'"
"2021","raked","shannon_native","native Shannon diversity",0.138389508031795,0.27677263762239,0.0437615964449581,40,"H'"
"2021","raked","sprich","species richness",3.475,1.78293189826369,0.281906285574043,40,"species per plot"
"2021","raked","sprich_exotic_forbs","exotic forb species richness",0.925,0.764182150389787,0.120827807123853,40,"species per plot"
"2021","raked","sprich_native","native species richness",1.025,0.733362470283633,0.115954787829192,40,"species per plot"
"2021","unraked","BG","bare ground",0.0766666666666667,0.082949734395078,0.0131155045997228,40,"areal cover proportion"
"2021","unraked","LIT","litter soil cover",0.922777777777778,0.0831841018974402,0.0131525613555723,40,"areal cover proportion"
"2021","unraked","exotic_forb","exotic forb relative abundance",0.029673227825854,0.049882435368331,0.0078871055500033,40,"relative abundance"
"2021","unraked","exotic_forb_cover","exotic forb areal cover",0.0358333333333333,0.0659259659399988,0.010423810465854,40,"areal cover proportion"
"2021","unraked","exotic_grass","exotic grass relative abundance",0.951870230823441,0.0599704622451662,0.00948216265139302,40,"relative abundance"
"2021","unraked","exotic_grass_cover","exotic grass areal cover",0.983611111111111,0.0214963353694219,0.00339886905571051,40,"areal cover proportion"
"2021","unraked","native_forb","native forb relative abundance",0.0184565413507047,0.0205190785361358,0.00324435118310314,40,"relative abundance"
"2021","unraked","native_forb_cover","native forb areal cover",0.0219444444444444,0.0270400614941862,0.00427540911963221,40,"areal cover proportion"
"2021","unraked","shannon","Shannon diversity",0.300721160229447,0.345955510072267,0.0547003690456843,40,"H'"
"2021","unraked","shannon_exotic_forbs","exotic forb Shannon diversity",0.0700265108726467,0.179439091377888,0.0283718115012603,40,"H'"
"2021","unraked","shannon_native","native Shannon diversity",0.034052910634857,0.126329427214688,0.0199744362751438,40,"H'"
"2021","unraked","sprich","species richness",3.05,1.48410380451103,0.234657415318806,40,"species per plot"
"2021","unraked","sprich_exotic_forbs","exotic forb species richness",0.825,0.675106829153158,0.106743762202907,40,"species per plot"
"2021","unraked","sprich_native","native species richness",0.8,0.563869415688347,0.0891555828241728,40,"species per plot"
"2022","raked","BG","bare ground",0.582051282051282,0.224630450754584,0.0359696593677362,39,"areal cover proportion"
"2022","raked","LIT","litter soil cover",0.417663817663818,0.224892118367786,0.0360115597195487,39,"areal cover proportion"
"2022","raked","exotic_forb","exotic forb relative abundance",0.103965915743467,0.054872009967063,0.00878655365160013,39,"relative abundance"
"2022","raked","exotic_forb_cover","exotic forb areal cover",0.111111111111111,0.0735704124498713,0.0117806943202767,39,"areal cover proportion"
"2022","raked","exotic_grass","exotic grass relative abundance",0.792348422478933,0.0937514279716638,0.0150122430776931,39,"relative abundance"
"2022","raked","exotic_grass_cover","exotic grass areal cover",0.7997150997151,0.122580208838976,0.0196285425344273,39,"areal cover proportion"
"2022","raked","native_forb","native forb relative abundance",0.103685661777599,0.0637524072803337,0.0102085552784298,39,"relative abundance"
"2022","raked","native_forb_cover","native forb areal cover",0.110826210826211,0.0840219957698344,0.0134542870616424,39,"areal cover proportion"
"2022","raked","shannon","Shannon diversity",0.749135296370079,0.227435098447341,0.0364187624248509,39,"H'"
"2022","raked","shannon_exotic_forbs","exotic forb Shannon diversity",0.0992269935759215,0.179067987745193,0.0286738262832298,39,"H'"
"2022","raked","shannon_native","native Shannon diversity",0.421506817744269,0.368292521954048,0.0589740016007213,39,"H'"
"2022","raked","sprich","species richness",4.66666666666667,1.52752523165195,0.244599795235114,39,"species per plot"
"2022","raked","sprich_exotic_forbs","exotic forb species richness",1.23076923076923,0.484580038554192,0.0775949069444807,39,"species per plot"
"2022","raked","sprich_native","native species richness",2.05128205128205,0.944477520523717,0.151237441671869,39,"species per plot"
"2022","unraked","BG","bare ground",0.0738888888888888,0.0826725942181436,0.01307168489021,40,"areal cover proportion"
"2022","unraked","LIT","litter soil cover",0.925,0.0827950325235335,0.0130910440861042,40,"areal cover proportion"
"2022","unraked","exotic_forb","exotic forb relative abundance",0.0283314294726032,0.0249951374452349,0.00395207823779522,40,"relative abundance"
"2022","unraked","exotic_forb_cover","exotic forb areal cover",0.0288888888888889,0.0267235859772482,0.00422536994677206,40,"areal cover proportion"
"2022","unraked","exotic_grass","exotic grass relative abundance",0.903727759419757,0.0523994778825881,0.00828508491562977,40,"relative abundance"
"2022","unraked","exotic_grass_cover","exotic grass areal cover",0.897222222222222,0.0791194816148556,0.012509888459738,40,"areal cover proportion"
"2022","unraked","native_forb","native forb relative abundance",0.0679408111076401,0.0495438621961067,0.00783357243106045,40,"relative abundance"
"2022","unraked","native_forb_cover","native forb areal cover",0.07,0.057498778494258,0.00909135513596811,40,"areal cover proportion"
"2022","unraked","shannon","Shannon diversity",0.431815374770451,0.219893907346473,0.0347682795404444,40,"H'"
"2022","unraked","shannon_exotic_forbs","exotic forb Shannon diversity",0.0744767967658671,0.201793755738481,0.0319063942866637,40,"H'"
"2022","unraked","shannon_native","native Shannon diversity",0.209832933016768,0.297117119709814,0.0469783415055959,40,"H'"
"2022","unraked","sprich","species richness",3.75,1.12660142429822,0.178131325798606,40,"species per plot"
"2022","unraked","sprich_exotic_forbs","exotic forb species richness",1.025,0.47971679679599,0.0758498854857746,40,"species per plot"
"2022","unraked","sprich_native","native species richness",1.5,0.751067616198811,0.118754217199071,40,"species per plot"
"2023","raked","BG","bare ground",0.779444444444444,0.229628021315937,0.0363073780978029,40,"areal cover proportion"
"2023","raked","LIT","litter soil cover",0.218888888888889,0.230435127989331,0.0364349928679351,40,"areal cover proportion"
"2023","raked","exotic_forb","exotic forb relative abundance",0.155321926642511,0.0854788284625892,0.0135153894832305,40,"relative abundance"
"2023","raked","exotic_forb_cover","exotic forb areal cover",0.261666666666667,0.163627562187159,0.0258717892246132,40,"areal cover proportion"
"2023","raked","exotic_grass","exotic grass relative abundance",0.687350710565946,0.102679528421969,0.0162350589442709,40,"relative abundance"
"2023","raked","exotic_grass_cover","exotic grass areal cover",0.987777777777778,0.0230336198123254,0.00364193506826642,40,"areal cover proportion"
"2023","raked","native_forb","native forb relative abundance",0.156795419824865,0.0978641743671608,0.0154736846166048,40,"relative abundance"
"2023","raked","native_forb_cover","native forb areal cover",0.257222222222222,0.182635727064157,0.0288772439821797,40,"areal cover proportion"
"2023","raked","shannon","Shannon diversity",1.07846632916767,0.303231081514258,0.0479450437470617,40,"H'"
"2023","raked","shannon_exotic_forbs","exotic forb Shannon diversity",0.239744171737459,0.272702860253146,0.0431181081421271,40,"H'"
"2023","raked","shannon_native","native Shannon diversity",0.492077000952056,0.342379222505971,0.0541349083318225,40,"H'"
"2023","raked","sprich","species richness",6.725,1.82556629780797,0.288647376035722,40,"species per plot"
"2023","raked","sprich_exotic_forbs","exotic forb species richness",1.7,0.686873257446286,0.108604197869474,40,"species per plot"
"2023","raked","sprich_native","native species richness",2.65,1.12204026620009,0.177410143380696,40,"species per plot"
"2023","unraked","BG","bare ground",0.141944444444444,0.160295854594923,0.0253450000001561,40,"areal cover proportion"
"2023","unraked","LIT","litter soil cover",0.854444444444444,0.158993351192212,0.0251390561295219,40,"areal cover proportion"
"2023","unraked","exotic_forb","exotic forb relative abundance",0.091437402726935,0.0685101051079582,0.0108323987439342,40,"relative abundance"
"2023","unraked","exotic_forb_cover","exotic forb areal cover",0.133055555555556,0.120000197847257,0.0189736972434083,40,"areal cover proportion"
"2023","unraked","exotic_grass","exotic grass relative abundance",0.80395111454503,0.0794151297844126,0.012556634539831,40,"relative abundance"
"2023","unraked","exotic_grass_cover","exotic grass areal cover",0.9975,0.00640883175051873,0.00101332527362216,40,"areal cover proportion"
"2023","unraked","native_forb","native forb relative abundance",0.104611482728035,0.0664421958886545,0.0105054335875612,40,"relative abundance"
"2023","unraked","native_forb_cover","native forb areal cover",0.140555555555556,0.0939630769454675,0.0148568669552667,40,"areal cover proportion"
"2023","unraked","shannon","Shannon diversity",0.742739871606512,0.309032309607366,0.0488622984470805,40,"H'"
"2023","unraked","shannon_exotic_forbs","exotic forb Shannon diversity",0.140248132889257,0.245414335437564,0.0388034135219639,40,"H'"
"2023","unraked","shannon_native","native Shannon diversity",0.292943667817984,0.282628227613646,0.0446874465157808,40,"H'"
"2023","unraked","sprich","species richness",4.725,1.5522935884089,0.245439166832404,40,"species per plot"
